entity_id,name,address,review_id,review,website,contact
1,"Encik Tan - OTH Branch","51 Tampines Ave 4 #01-12, Our Tampines Hub, Singapore 528523",1,"Encik Tan used to serve decent chicken chop curry rice, not sure why so lousy now, the curry is watery and tasteless, the vege super nua and not fresh, fried egg also very cin cai, braised sauce is missing. Mee pok still eatable, else I would have rate 1 star like most of the reviewers. I wonder if only this branch, or all other Encik Tan also drop standard now.","enciktan.com.sg/",63701155
1,"Encik Tan - OTH Branch","52 Tampines Ave 4 #01-12, Our Tampines Hub, Singapore 528523",2,"Food is so so I don't expect much. Reasonable price. Front crew only know how to shout  instead of speaking nicely. How rude. I understand can be peak hours sometimes but please its basic courtesy. The male cashier is the friendliest out of the front crew. Also payment methods quite limited to cash and shopee pay. Since u guys have so many outlets why can't you use paynow????","enciktan.com.sg/",63701155
1,"Encik Tan - OTH Branch","51 Tampines Ave 4 #01-12, Our Tampines Hub, Singapore 528523",3,"Visit this branch on Jan 2021. I love Encik Tan food, but give two stars for this branch. The food was ok. Price wise, affordable. I don't expect first class service, but one thing put this branch down specially during covid19 pandemic, the queue system to collect the rice/noodle food doesn't use number like fried delight collection. The staffs just shouting2 the food name for cust to collect. They even forget our order, just say because other cust took our food. No apologize, just excuse. What a disaster.","enciktan.com.sg/",63701155
1,"Encik Tan - OTH Branch","52 Tampines Ave 4 #01-12, Our Tampines Hub, Singapore 528523",4,"Encik Tan at Tampines Hub. The Brother Lim Boon Kheng cooking claypot chicken rice did a fantastic job on the dish. My mom who has a decreased appetite actually finished the claypot chicken rice on her own. She said it was “very good”.","enciktan.com.sg/",63701155
1,"Encik Tan - OTH Branch","51 Tampines Ave 4 #01-12, Our Tampines Hub, Singapore 528523",5,"encik tan outlet with bad service, came to check on my order after awhile but they told me to sit down and wait. turns out they forgot the order. encik tan at vivo makes the food faster even during peak hour. two stars cos the food always slaps","enciktan.com.sg/",63701155
1,"Encik Tan - OTH Branch","52 Tampines Ave 4 #01-12, Our Tampines Hub, Singapore 528523",6,"Superb street food in a food court setting. If you like Chinese styled noodles, this place is for you. They are open till late (maybe even 24 hours) but half the menu is closed late at night. Staff are friendly and all the food are halal.","enciktan.com.sg/",63701155
1,"Encik Tan - OTH Branch","51 Tampines Ave 4 #01-12, Our Tampines Hub, Singapore 528523",7,"Decent food at a decent price. Safest best on the menu is the chicken cutlet. Fish is deep fried and the batter is so thick you won’t know which part of the fish. Avoid fish.","enciktan.com.sg/",63701155
1,"Encik Tan - OTH Branch","51 Tampines Ave 4 #01-12, Our Tampines Hub, Singapore 528523",8,"Food doesn't taste as fantastic as how others described.The standard has dropped.The price is also a little steep compared to other restaurants nearby.","enciktan.com.sg/",63701155
2,"Buddy Hoagies Cafe & Grill","11 Bedok North Street 1, #01-27 Heartbeat @ Bedok, Singapore 469662",9,"This is my favourite outlet for the Buddy hoagies chain, staffs here were mostly very friendly! Esp, Emily, Bernard etc… they were attentive and approachable.. chili sauce here is always refilled before it runs out and the food are served hot and delicious. Their dessert selection is quite interesting and the price is pretty affordable. Good for family gathering etc. Will definitely be back in the near future. Highly recommend!!","buddyhoagies.com.sg",62828850
2,"Buddy Hoagies Cafe & Grill","11 Bedok North Street 1, #01-27 Heartbeat @ Bedok, Singapore 469662",10,"Large and spacious. Service was prompt. Came for lunch. Despite the large lunch crowd, starters and drinks were served promptly. Food came 10 minutes after, quite fast. Coleslaw was very fresh. Fish and chips was crispy and tasty. Prices are affordable.","buddyhoagies.com.sg",62828850
2,"Buddy Hoagies Cafe & Grill","11 Bedok North Street 1, #01-27 Heartbeat @ Bedok, Singapore 469662",11,"I ordered the Seafood platter. The prawns were done nicely. The current weekday lunch promotion adds a soup and a drink to main courses ordered. A trainee by the name of Jia Yin served us and she was simply outstanding at her work. Great service!","buddyhoagies.com.sg",62828850
2,"Buddy Hoagies Cafe & Grill","11 Bedok North Street 1, #01-27 Heartbeat @ Bedok, Singapore 469662",12,"Very affordable prices and value for money. Double up chicken for only $14.90 and lamb chop for $15. There’s my favourite rosti too. A steal! Comfortable ambience too. Suitable for a quick family dinner or casual meal with friends. Easily accessible.","buddyhoagies.com.sg",62828850
2,"Buddy Hoagies Cafe & Grill","11 Bedok North Street 1, #01-27 Heartbeat @ Bedok, Singapore 469662",13,"Good choice for budget steak or grilled. Service is good. Staff are friendly and helpful. I think their chicken is better than beef. BTW, good price with reasonable quality. Went for lunch and quite good deal - free drink and soup with a Main ordered. I ordered the Rösti with Chicken and it was actually quite nice! Not too oily with crispy edges. Soup came with halved hotdog bun, toasted on one side, soft on another. Quite family and student friendly place. The staff was attentive, friendly and prompt! I can see they were short handed with the full house, but everyone was efficient and food was served very quickly. Weekday lunch set is very worth it. We forgot to take photos except for this quick picture taken outside their restaurant. Food served was good, kids meal portion was just nice, and once more - great staff made this a very pleasant dining experience.","buddyhoagies.com.sg",62828850
2,"Buddy Hoagies Cafe & Grill","11 Bedok North Street 1, #01-27 Heartbeat @ Bedok, Singapore 469662",14,"terrible food and service. been visiting for past years but in specific their carbonara pasta’s standard dropped tremendously. watery and sour taste. believe is due to the change in chef and a replacement of the dish doesn’t change the problem. will not come back again.","buddyhoagies.com.sg",62828850
2,"Buddy Hoagies Cafe & Grill","11 Bedok North Street 1, #01-27 Heartbeat @ Bedok, Singapore 469662",15,"Ordered the seafood platter and added the soft shell crab.  It was SO SALTY! I could barely finish my meal. Disappointed.","buddyhoagies.com.sg",62828850
2,"Buddy Hoagies Cafe & Grill","11 Bedok North Street 1, #01-27 Heartbeat @ Bedok, Singapore 469662",16,"Come off day once a week, the food is good, but sometimes it feels like a different person cooks it! Sometimes it's really delicious! I went to eat today off day, I think it’s different today, it’s okay!","buddyhoagies.com.sg",62828850
